age,men,woman
1,181860.0,173525.0
2,186860.0,178465.0
3,193235.0,183800.0
4,200445.0,189870.0
5,205950.0,196155.0
6,208855.0,198215.0
7,209750.0,200095.0
8,214760.0,202435.0
9,214935.0,203755.0
10,216065.0,204685.0
11,220335.0,208890.0
12,222125.0,209245.0
13,220630.0,208525.0
14,214330.0,201875.0
15,209600.0,196980.0
16,207570.0,194770.0
17,207765.0,195380.0
18,203440.0,192370.0
19,208360.0,196750.0
20,218925.0,204805.0
21,226965.0,211420.0
22,224805.0,210205.0
23,230735.0,216125.0
24,237390.0,220880.0
25,243640.0,231000.0
26,245650.0,233665.0
27,242600.0,236485.0
28,246900.0,242795.0
29,249345.0,249430.0
30,257850.0,256710.0
31,257425.0,258930.0
32,249145.0,251700.0
33,243350.0,248110.0
34,245030.0,250595.0
35,250395.0,254200.0
36,250420.0,256380.0
37,247740.0,254680.0
38,246365.0,254480.0
39,243605.0,253100.0
40,244890.0,253135.0
41,240190.0,249315.0
42,233410.0,243715.0
43,229465.0,238750.0
44,227920.0,238615.0
45,227855.0,237530.0
46,228835.0,237750.0
47,221725.0,232265.0
48,223085.0,231590.0
49,227690.0,235850.0
50,237575.0,246040.0
51,233880.0,242390.0
52,230835.0,240210.0
53,228680.0,237720.0
54,230695.0,240330.0
55,245270.0,252960.0
56,261100.0,271150.0
57,266300.0,275510.0
58,267915.0,277125.0
59,259390.0,270600.0
60,262305.0,274420.0
61,256195.0,269245.0
62,248930.0,262185.0
63,246735.0,259400.0
65,230650.0,244955.0
66,225705.0,241800.0
67,213380.0,231195.0
68,202460.0,218710.0
69,193115.0,209015.0
70,187155.0,203450.0
71,180235.0,197585.0
72,173895.0,192055.0
73,171880.0,189105.0
74,166680.0,185540.0
75,135680.0,152595.0
76,126140.0,141815.0
77,119160.0,135615.0
78,110565.0,126620.0
79,97550.0,115205.0
80,90525.0,110095.0
81,80715.0,100355.0
82,73760.0,93595.0
83,66645.0,86740.0
84,59260.0,78860.0
85,54820.0,74255.0
86,47320.0,67610.0
87,41635.0,61140.0
88,36780.0,57755.0
89,32190.0,51950.0
90,27050.0,46740.0
91,21065.0,39590.0
92,16215.0,33340.0
93,12875.0,28355.0
94,10095.0,22715.0
95,7240.0,18205.0
96,4250.0,12070.0
97,2940.0,9185.0
98,1960.0,6595.0
99,1275.0,4660.0
